San Mateo,114862990000,0.052,320,298309228,796,155767130,182070,94005,3173,2246.96,350.43,18793989,715567,644385,88358,19888,17235,1797,14439,774485,9408,66027,1862,1316,196942,19839,203789,27692,11193,319125,51795,110606,479620,137875,505743,126738,202341,60045,14875,444900,10000,0.022,48795,0.064,11102,0.07,Redwood City
Santa Barbara,30191620000,0.037,631,170852477,297,34009053,103840,48138,8133,1986.57,805.23,9600051,1214263,279464,81723,32296,12624,1493,7633,454593,20286,144503,14108,1939,21742,7921,209855,10078,800,204179,33784,69285,283123,70322,292740,60238,91696,55251,9926,208300,8400,0.039,60921,0.142,16917,0.174,Santa Barbara
Santa Clara,328260759000,0.102,1915,727386673,6276,1121659484,416037,236478,18924,4664.03,619.768,41525239,3048057,1403021,196029,61060,39349,6155,45406,1954286,30214,88368,6878,4651,648474,46867,540956,63110,7015,665572,135848,304577,1240251,295969,1197177,308769,405470,151213,29743,1021500,27300,0.026,142603,0.075,34255,0.081,San Jose
Santa Cruz,15310247000,0.018,238,41333541,188,18540593,76250,22690,6922,1060.16,587.915,5058468,1366545,180901,51951,19844,10464,989,7530,274871,14663,133721,1842,1053,11682,2514,96384,7594,327,157484,17218,41638,169910,48272,190154,43480,87412,22129,7268,135600,7000,0.049,33262,0.126,7223,0.137,Santa Cruz
Shasta,8723326000,0.003,306,78562243,0,   -   ,56804,12631,8592,2356.36,1235.931,5283693,816982,109466,50596,48205,7411,1163,5131,178773,2889,65228,559,4304,4902,1682,16890,6402,265,144336,12394,25860,103226,37301,134587,25629,23139,46382,5966,70500,3700,0.049,30155,0.17,8635,0.229,Redding
Sierra,226271000,0.124,6,1991148,0,   -   ,2149,106,97,759.67,544.988,428440,176620,2531,1631,1194,179,5,22,3213,33,2469,2,45,14,6,284,66,3,2727,158,307,1645,1035,2628,502,596,872,179,1200,80,0.06,404,0.137,93,0.202,Downieville
Siskiyou,1940815000,-0.02,50,12876208,4,479982,17357,3245,3598,2645.43,1319.248,2545322,691805,30060,18272,14845,1907,180,654,44584,604,24530,203,1590,597,553,5271,1949,79,34062,2714,5831,23825,11731,34565,6806,8152,10466,2057,16240,1160,0.067,7679,0.177,2238,0.257,Yreka
Solano,26440606000,0.02,954,238449433,36,3310000,121353,33620,4613,1941.18,565.563,13631510,571506,300122,74699,41827,13049,2110,11894,441307,11462,19580,197,1996,63117,62402,115395,23716,3570,174311,31243,68539,270594,74131,293433,66558,106452,50006,11507,201600,8200,0.039,43352,0.1,13687,0.14,Fairfield
Sonoma,31959962000,0.042,3169,1045854835,110,20000627,152752,40771,11453,2655.41,1367.56,12131831,2742896,345727,113446,57174,17261,1985,7167,500675,10149,141781,5282,3710,19552,7745,134378,13658,1562,323894,27894,66644,303694,106267,352800,70244,143054,49386,13815,255200,7200,0.027,46165,0.093,10726,0.109,Santa Rosa
Stanislaus,25133925000,0.053,684,132316956,75,23451492,144015,29890,8609,3113.21,1635.377,11992703,3107644,317403,112875,66006,12138,3160,15300,558972,6641,118046,1475,2987,27862,14680,251935,14981,3357,245339,46199,99739,340071,75132,343027,58259,92669,86375,12220,227900,15600,0.064,75614,0.14,27296,0.186,Modesto
Sutter,3831491000,0.048,97,30073235,0,   -   ,25981,6895,1522,1117.78,782.933,2601790,502114,57442,25238,20742,2306,328,2495,97490,760,21114,60,965,14702,1858,30919,3288,293,47518,7873,16795,59579,15296,60520,11870,13715,18102,2492,42100,3400,0.075,12628,0.132,4521,0.182,Yuba City
Tehama,2421320000,0.052,128,30314829,16,1658640,18222,3120,6313,1625.32,1106.452,2485432,489093,34843,19433,18725,1906,267,1616,64387,854,42136,374,1250,671,375,15913,1811,66,44665,4810,10202,37118,12621,43820,8626,8277,14138,2209,24180,1450,0.057,12718,0.201,4363,0.29,Red Bluff
Trinity,570541000,0.028,55,7599245,0,   -   ,6077,616,2249,1880.91,627.567,696563,113269,8209,5807,4997,661,79,257,13688,391,13688,391,553,108,52,1093,574,16,11011,714,1554,7029,4110,11277,1438,2351,2409,774,4440,270,0.057,2529,0.203,671,0.321,Weaverville
Tulare,19137922000,0.036,1206,259018237,322,33404986,118137,21836,10649,5115.22,3571.1,10897671,2802179,236894,101098,53479,8551,1587,11682,479112,4665,144741,1429,3492,15316,5892,304967,6567,432,145138,44207,99296,280429,57872,264686,43488,52751,65388,8459,184900,19600,0.096,110299,0.24,45371,0.319,Visalia
Tuolumne,2768973000,-0.049,68,15499105,0,   -   ,25477,2671,3476,1279.62,877.278,1844605,846620,40806,21163,13980,3080,197,985,54590,3488,49713,3187,814,598,990,6084,1452,64,42762,2752,5789,29380,14843,40793,7915,9208,13125,1840,20360,980,0.046,6205,0.122,1558,0.175,Sonora
Ventura,59631268000,0.013,625,188350041,579,97528999,216468,61829,11350,2963.65,529.963,18710717,1400993,596659,140974,50572,24436,2048,14659,856598,11206,96377,3850,2506,57414,13618,368909,19576,1422,395900,58505,134554,526694,139592,550267,116121,179483,132378,22107,409700,16100,0.038,80217,0.095,25607,0.132,Ventura
Yolo,15336770000,0.03,391,121791670,385,66696678,51055,23077,3547,1561.18,836.264,6225384,660564,122622,36983,25143,4284,674,5793,222581,13203,31200,10569,1257,30834,5457,70582,7983,1080,107362,14660,36408,144258,29229,150896,31752,52995,21798,5730,104000,4600,0.042,36761,0.175,6447,0.141,Woodland
Yuba,3391514000,0.012,373,88963487,6,576176,20699,5020,2931,859.93,714.753,1934475,840011,41347,16227,12479,2370,341,1856,77916,1119,61586,513,1289,5487,2328,20783,3647,279,44427,7079,14358,46727,10076,48385,9999,9076,12158,2591,27200,1900,0.064,11609,0.153,4556,0.219,Marysville
